1608,,Encumbrance,"When you make a move while carrying weight up to or equal to Load, you’re fine. When you make a move while carrying weight equal to load+1 or load+2, you take -1. When you make a move while carrying weight greater than load+2, you have a choice: drop at least 1 weight and roll at -1, or automatically fail.",special
1609,,Make Camp,When you settle in to rest consume a ration. If you’re somewhere dangerous decide the watch order as well. If you have enough XP you may Level Up. When you wake from at least a few uninterrupted hours of sleep heal damage equal to half your max HP.,special
1610,,Take Watch,"When you you’re on watch and something approaches the camp roll+Wis. On a 10+ you’re able to wake the camp and prepare a response, the camp takes +1 forward. On a 7–9 you react just a moment too late; the camp is awake but hasn’t had time to prepare. You have weapons and armor but little else. On a miss whatever lurks outside the campfire’s light has the drop on you.",special
1611,,Undertake a Perilous Journey,"When you travel through hostile territory, choose one member of the party to act as trailblazer, one to scout ahead, and one to be quartermaster (the same character cannot have two jobs). If you don’t have enough party members or choose not to assign a job, treat that job as if it had rolled a 6. Each character with a job to do rolls+Wis. On a 10+ the quartermaster reduces the number of rations required by one. On a 10+ the trailblazer reduces the amount of time it takes to reach your destination (the GM will say by how much). On a 10+ the scout will spot any trouble quick enough to let you get the drop on it. On a 7–9 each roles performs their job as expected: the normal number of rations are consumed, the journey takes about as long as expected, no one gets the drop on you but you don’t get the drop on them either.",special
1612,,Level Up,"When you have downtime (hours or days) and XP equal to (or greater than) your current level + 7, subtract your current level +7 from your XP, increase your level by 1, and choose a new advanced move from your class. If you are the wizard, you also get to add a new spell to your spellbook.
Choose one of your stats and increase it by 1 (this may change your modifier). Changing your Constitution increases your maximum and current HP. Ability scores can’t go higher than 18.",special
1613,,End of Session,"When you reach the end of a session, choose one your bonds that you feel is resolved (completely explored, no longer relevant, or otherwise). Ask the player of the character you have the bond with if they agree. If they do, mark XP and write a new bond with whomever you wish.
Once bonds have been updated look at your alignment. If you fulfilled that alignment at least once this session, mark XP. Then answer these three questions as a group:

* Did we learn something new and important about the world?
* Did we overcome a notable monster or enemy?
* Did we loot a memorable treasure?
For each “yes” answer everyone marks XP.",special
1614,,Carouse,"When you return triumphant and throw a big party, spend 100 coin and roll + extra 100s of coin spent. On a 10+ choose 3. On a 7–9 choose 1. On a miss, you still choose one, but things get really out of hand.

* You befriend a useful NPC
* You hear rumors of an opportunity
* You gain useful information
* You are not entangled, ensorcelled, or tricked",special
1615,,Supply,"When you go to buy something with gold on hand, if it’s something readily available in the settlement you’re in, you can buy it at market price. If it’s something special, beyond what’s usually available here, or non-mundane, roll+Cha. On a 10+ you find what you’re looking for at a fair price. On a 7–9 you’ll have to pay more or settle for something similar.",special
1616,,Recover,When you do nothing but rest in comfort and safety after a day of rest you recover all your HP. After three days of rest you remove one debility of your choice. If you’re under the care of a healer (magical or otherwise) you heal a debility for every two days of rest instead.,special
1617,,Recruit,"When you put out word that you’re looking to hire help, roll. If you make it known…

* …that your pay is generous, take +1
* …what you’re setting out to do, take +1
* …that they’ll get a share of whatever you find, take +1
If you have a useful reputation around these parts take an additional +1. On a 10+ you’ve got your pick of a number of skilled applicants, your choice who you hire, no penalty for not taking them along. On a 7–9 you’ll have to settle for someone close or turn them away. On a miss someone influential and ill-suited declares they’d like to come along (a foolhardy youth, a loose-cannon, or a veiled enemy, for example), bring them and take the consequences or turn them away. If you turn away applicants you take -1 forward to Recruit.",special
1618,,Outstanding Warrants,"When you return to a civilized place in which you’ve caused trouble before, roll+Cha. On a hit, word has spread of your deeds and everyone recognizes you. On a 7–9, that, and, the GM chooses a complication:

* The local constabulary has a warrant out for your arrest
* Someone has put a price on your head
* Someone important to you has been put in a bad spot as a result of your actions",special
1619,,Bolster,"When you spend your leisure time in study, meditation, or hard practice, you gain preparation. If you prepare for a week or two, 1 preparation. If you prepare for a month or longer, 3 preparation. When your preparation pays off spend 1 preparation for +1 to any roll. You can only spend one preparation per roll.

---",special
1705,The FIGHTER,Armor Mastery,"When you make your armor take the brunt of damage dealt to you, the damage is negated but you must reduce the armor value of your armor or shield (your choice) by 1. The value is reduced each time you make this choice. If the reduction leaves the item with 0 armor it is destroyed.",advanced
1620,The BARD,Arcane Art,"When you weave a performance into a basic spell, choose an ally and an effect:

* Heal 1d8 damage
* +1d4 forward to damage
* Their mind is shaken clear of one enchantment
* The next time someone successfully assists the target with aid, they get +2 instead of +1

Then roll+Cha. ✴On a 10+, the ally gets the selected effect. ✴On a 7-9, your spell still works, but you draw unwanted attention or your magic reverberates to other targets affecting them as well, GM’s choice.",starting
1621,The BARD,Bardic Lore,"Choose an area of expertise:

* Spells and Magicks
* The Dead and Undead
* Grand Histories of the Known World
* A Bestiary of Creatures Unusual
* The Planar Spheres
* Legends of Heroes Past
* Gods and Their Servants

When you first encounter an important creature, location, or item (your call) covered by your bardic lore you can ask the GM any one question about it; the GM will answer truthfully. The GM may then ask you what tale, song, or legend you heard that information in.",starting
1622,The BARD,Charming and Open,"When you speak frankly with someone, you can ask their player a question from the list below. They must answer it truthfully, then they may ask you a question from the list (which you must answer truthfully).

* Whom do you serve?
* What do you wish I would do?
* How can I get you to ______?
* What are you really feeling right now?
* What do you most desire?",starting
1623,The BARD,A Port in the Storm,"When you return to a civilized settlement you’ve visited before, tell the GM when you were last here. They’ll tell you how it’s changed since then.",starting
1624,The BARD,Healing Song,"When you heal with arcane art, you heal +1d8 damage.",advanced
1625,The BARD,Vicious Cacophony,"When you grant bonus damage with arcane art, you grant an extra +1d4 damage.",advanced
1626,The BARD,It Goes To Eleven,"When you unleash a crazed performance (a righteous lute solo or mighty brass blast, maybe) choose a target who can hear you and roll+Cha. ✴On a 10+ the target attacks their nearest ally in range. ✴On a 7–9 they attack their nearest ally, but you also draw their attention and ire.",advanced
1627,The BARD,Metal Hurlant,"When you shout with great force or play a shattering note choose a target and roll+Con. ✴On a 10+ the target takes 1d10 damage and is deafened for a few minutes. ✴On a 7–9 you still damage your target, but it’s out of control: the GM will choose an additional target nearby.",advanced
1628,The BARD,A Little Help From My Friends,When you successfully aid someone you take +1 forward as well.,advanced
1629,The BARD,Eldritch Tones,"Your arcane art is strong, allowing you to choose two effects instead of one.",advanced
1630,The BARD,Duelist’s Parry,"When you hack and slash, you take +1 armor forward.",advanced
1631,The BARD,Bamboozle,"When you parley with someone, on a 7+ you also take +1 forward with them.",advanced
1632,The BARD,Multiclass Dabbler,Get one move from another class. Treat your level as one lower for choosing the move.,advanced
1633,The BARD,Multiclass Initiate,"Get one move from another class. Treat your level as one lower for choosing the move.

When you gain a level from 6-10, choose from these moves or the level 2-5 moves.",advanced
1634,The BARD,Healing Chorus,"Replaces: Healing Song. When you heal with arcane art, you heal +2d8 damage.",advanced
1635,The BARD,Vicious Blast,"Replaces: Vicious Cacophony. When you grant bonus damage with arcane art, you grant an extra +2d4 damage.",advanced
1636,The BARD,Unforgettable Face,When you meet someone you’ve met before (your call) after some time apart you take +1 forward against them.,advanced
1637,The BARD,Reputation,"When you first meet someone who’s heard songs about you, roll+Cha. ✴On a 10+, tell the GM two things they’ve heard about you. ✴On a 7-9, tell the GM one thing they’ve heard, and the GM tells you one thing.",advanced
1638,The BARD,Eldritch Chord,"Replaces: Eldritch Tones. When you use arcane art, you choose two effects. You also get to choose one of those effects to double.",advanced
1639,The BARD,An Ear For Magic,When you hear an enemy cast a spell the GM will tell you the name of the spell and its effects. Take +1 forward when acting on the answers.,advanced
1640,The BARD,Devious,When you use charming and open you may also ask “How are you vulnerable to me?” Your subject may not ask this question of you.,advanced
1641,The BARD,Duelist’s Block,"Replaces: Duelist’s Parry. When you hack and slash, you take +2 armor forward.",advanced
1642,The BARD,Con,"Replaces: Bamboozle. When you parley with someone, on a 7+ you also take +1 forward with them and get to ask their player one question which they must answer truthfully.",advanced
1643,The BARD,Multiclass Master,"Get one move from another class. Treat your level as one lower for choosing the move.

---",advanced
1644,The CLERIC,Deity,"You serve and worship some deity or power which grants you spells. Give your god a name (maybe Helferth, Sucellus, Zorica or Krugon the Bleak) and choose your deity’s domain:

- Healing and Restoration
- Bloody Conquest
- Civilization
- Knowledge and Hidden Things
- The Downtrodden and Forgotten
- What Lies Beneath

Choose one precept of your religion:

- Your religion preaches the sanctity of suffering, add Petition: Suffering
- Your religion is cultish and insular, add Petition: Gaining Secrets
- Your religion has important sacrificial rites, add Petition: Offering
- Your religion believes in trial by combat, add Petition: Personal Victory",starting
1645,The CLERIC,Divine Guidance,"When you petition your deity according to the precept of your religion, you are granted some useful knowledge or boon related to your deity’s domain. The GM will tell you what.",starting
1646,The CLERIC,Turn Undead,"When you hold your holy symbol aloft and call on your deity for protection, roll+Wis. ✴On a 7+, so long as you continue to pray and brandish your holy symbol, no undead may come within reach of you. ✴On a 10+, you also momentarily daze intelligent undead and cause mindless undead to flee. Aggression breaks the effects and they are able to act as normal. Intelligent undead may still find ways to harry you from afar. They’re clever like that.",starting
1647,The CLERIC,Commune,"When you spend uninterrupted time (an hour or so) in quiet communion with your deity, you:

* Lose any spells already granted to you.
* Are granted new spells of your choice whose total levels don’t exceed your own level+1, and none of which is a higher level than your own level.
* Prepare all of your rotes, which never count against your limit.",starting
1706,The FIGHTER,Improved Weapon,Choose one extra enhancement for your signature weapon.,advanced
1707,The FIGHTER,Seeing Red,"When you discern realities during combat, you take +1.",advanced
1708,The FIGHTER,Interrogator,"When you parley using threats of impending violence as leverage, you may use STR instead of CHA.",advanced
1709,The FIGHTER,Scent of Blood,"When you hack and slash an enemy, your next attack against that same foe deals +1d4 damage.",advanced
1648,The CLERIC,Cast a Spell,"When you unleash a spell granted to you by your deity, roll+Wis. ✴On a 10+, the spell is successfully cast and your deity does not revoke the spell, so you may cast it again. ✴On a 7–9, the spell is cast, but choose one:

* You draw unwelcome attention or put yourself in a spot. The GM will tell you how.
* Your casting distances you from your deity—take -1 ongoing to cast a spell until the next time you commune.
* After you cast it, the spell is revoked by your deity. You cannot cast the spell again until you commune and have it granted to you.

Note that maintaining spells with ongoing effects will sometimes cause a penalty to your roll to cast a spell.",starting
1649,The CLERIC,Chosen One,Choose one spell. You are granted that spell as if it was one level lower.,advanced
1650,The CLERIC,Invigorate,When you heal someone they take +2 forward to their damage.,advanced
1651,The CLERIC,The Scales of Life and Death,"When someone takes their last breath in your presence, they take +1 to the roll.",advanced
1652,The CLERIC,Serenity,When you cast a spell you ignore the first -1 penalty from ongoing spells.,advanced
1653,The CLERIC,First Aid,"Cure Light Wounds is a rote for you, and therefore doesn’t count against your limit of granted spells.",advanced
1654,The CLERIC,Divine Intervention,"When you commune you get 1 hold and lose any hold you already had. Spend that hold when you or an ally takes damage to call on your deity, they intervene with an appropriate manifestation (a sudden gust of wind, a lucky slip, a burst of light) and negate the damage.",advanced
1655,The CLERIC,Penitent,"When you take damage and embrace the pain, you may take +1d4 damage (ignoring armor). If you do, take +1 forward to cast a spell.",advanced
1656,The CLERIC,Empower,"When you cast a spell, on a 10+ you have the option of choosing from the 7–9 list. If you do, you may choose one of these effects as well:
* The spell’s effects are doubled
* The spell’s targets are doubled",advanced
1657,The CLERIC,Orison for Guidance,"When you sacrifice something of value to your deity and pray for guidance, your deity tells you what it would have you do. If you do it, mark experience.",advanced
1658,The CLERIC,Divine Protection,When you wear no armor or shield you get 2 armor.,advanced
1659,The CLERIC,Devoted Healer,"When you heal someone else of damage, add your level to the amount of damage healed.

When you gain a level from 6–10, choose from these moves or the level 2–5 moves.",advanced
1660,The CLERIC,Anointed,Requires: Chosen One. Choose one spell in addition to the one you picked for chosen one. You are granted that spell as if it was one level lower.,advanced
1661,The CLERIC,Apotheosis,"The first time you spend time in prayer as appropriate to your god after taking this move, choose a feature associated with your deity (rending claws, wings of sapphire feathers, an all-seeing third eye, etc.). When you emerge from prayer, you permanently gain that physical feature.",advanced
1662,The CLERIC,Reaper,"When you take time after a conflict to dedicate your victory to your deity and deal with the dead, take +1 forward.",advanced
1663,The CLERIC,Providence,Replaces: Serenity. You ignore the -1 penalty from two spells you maintain.,advanced
1664,The CLERIC,Greater First Aid,"Requires: First Aid. Cure Moderate Wounds is a rote for you, and therefore doesn’t count against your limit of granted spells.",advanced
1665,The CLERIC,Divine Invincibility,"Replaces: Divine Intervention. When you commune you gain 2 hold and lose any hold you already had. Spend that hold when you or an ally takes damage to call on your deity, who intervenes with an appropriate manifestation (a sudden gust of wind, a lucky slip, a burst of light) and negates the damage.",advanced
1666,The CLERIC,Martyr,"Replaces: Penitent. When you take damage and embrace the pain, you may take +1d4 damage (ignoring armor). If you do, take +1 forward to cast a spell and add your level to any damage done or healed by the spell.",advanced
1667,The CLERIC,Divine Armor,Replaces: Divine Protection. When you wear no armor or shield you get 3 armor.,advanced
1668,The CLERIC,Greater Empower,"Replaces: Empower. When you cast a spell, on a 10–11 you have the option of choosing from the 7–9 list. If you do, you may choose one of these effects as well. On a 12+ you get to choose one of these effects for free.
* The spell’s effects are doubled
* The spell’s targets are doubled",advanced
1669,The CLERIC,Multiclass Dabbler,Get one move from another class. Treat your level as one lower for choosing the move.,advanced
1670,The CLERIC,Rotes,"Every time you commune, you gain access to all of your rotes without having to select them or count them toward your allotment of spells.

* **Light:** An item you touch glows with divine light, about as bright as a torch. It gives off no heat or sound and requires no fuel but is otherwise like a mundane torch. You have complete control of the color of the flame. The spell lasts as long as it is in your presence.
* **Sanctify:** Food or water you hold in your hands while you cast this spell is consecrated by your deity. In addition to now being holy or unholy, the affected substance is purified of any mundane spoilage.
* **Guidance:** The symbol of your deity appears before you and gestures towards the direction or course of action your deity would have you take then disappears. The message is through gesture only; your communication through this spell is severely limited.",starting
1671,The CLERIC,First Level Spells,"* **Bless (Ongoing):** Your deity smiles upon a combatant of your choice. They take +1 ongoing so long as battle continues and they stand and fight. While this spell is ongoing you take -1 to cast a spell.
* **Cure Light Wounds:** At your touch wounds scab and bones cease to ache. Heal an ally you touch of 1d8 damage.
* **Detect Alignment:** When you cast this spell choose an alignment: Good, Evil, Lawful, or Chaotic. One of your senses is briefly able to detect that alignment. The GM will tell you what here is of that alignment.
* **Cause Fear (Ongoing):** Choose a target you can see and a nearby object. The target is afraid of the object so long as you maintain the spell. Their reaction is up to them: flee, panic, beg, fight. While this spell is ongoing you take -1 to cast a spell. You cannot target entities with less than animal intelligence (magical constructs, undead, automatons, and the like).
* **Magic Weapon (Ongoing):** The weapon you hold while casting does +1d4 damage until you dismiss this spell. While this spell is ongoing you take -1 to cast a spell.
* **Sanctuary:** As you cast this spell, you walk the perimeter of an area, consecrating it to your deity. As long as you stay within that area you are alerted whenever someone acts with malice within the sanctuary (including entering with harmful intent). Anyone who receives healing within a sanctuary heals +1d4 HP.
* **Speak With Dead:** A corpse converses with you briefly. It will answer any three questions you pose to it to the best of the knowledge it had in life and the knowledge it gained in death.",starting
1710,The FIGHTER,Multiclass Dabbler,Get one move from another class. Treat your level as one lower for choosing the move.,advanced
1672,The CLERIC,Third Level Spells,"* **Animate Dead (Ongoing):** You invoke a hungry spirit to possess a recently-dead body and serve you. This creates a zombie that follows your orders to the best of its limited abilities. Treat the zombie as a character, but with access to only the basic moves. It has a +1 modifier for all stats and 1 HP. The zombie also gets your choice of 1d4 of these traits:
* It’s talented. Give one stat a +2 modifier.
* It’s durable. It has +2 HP for each level you have.
* It has a functioning brain and can complete complex tasks.
* It does not appear obviously dead, at least for a day or two.
The zombie lasts until it is destroyed by taking damage in excess of its HP, or until you end the spell. While this spell is ongoing you take -1 to cast a spell.
* **Cure Moderate Wounds:** You staunch bleeding and set bones through magic. Heal an ally you touch of 2d8 damage.
* **Darkness (Ongoing):** Choose an area you can see: it’s filled with supernatural darkness and shadow. While this spell is ongoing you take -1 to cast a spell.
* **Resurrection:** Tell the GM you would like to resurrect a corpse whose soul has not yet fully departed this world. Resurrection is always possible, but the GM will give you one or more (possibly all) of these conditions to fulfill:
* It’s going to take days/weeks/months
* You must get help from ____
* It will require a lot of money
* You must sacrifice ____ to do it
The GM may, depending on the circumstances, allow you to resurrect the corpse now, with the understanding that the conditions must be met before it’s permanent, or require you to meet the conditions before the corpse is resurrected.
* **Hold Person:** Choose a person you can see. Until you cast a spell or leave their presence they cannot act except to speak. This effect ends immediately if the target takes damage from any source.",advanced
1673,The CLERIC,Fifth Level Spells,"* **Revelation:** Your deity answers your prayers with a moment of perfect understanding. The GM will shed light on the current situation. When acting on the information, you take +1 forward.
* **Cure Critical Wounds:** Heal an ally you touch of 3d8 damage.
* **Divination:** Name a person, place, or thing you want to learn about. Your deity grants you visions of the target, as clear as if you were there.
* **Contagion (Ongoing):** Choose a creature you can see. Until you end this spell, the target suffers from a disease of your choice. While this spell is ongoing you take -1 to cast a spell.
* **Words of the Unspeaking:** With a touch you speak to the spirits within things. The non-living object you touch answers three questions you pose, as best it can.
* **True Seeing (Ongoing):** Your vision is opened to the true nature of everything you lay your eyes on. You pierce illusions and see things that have been hidden. The GM will describe the area before you ignoring any illusions and falsehoods, magical or otherwise. While this spell is ongoing you take -1 to cast a spell.
* **Trap Soul:** You trap the soul of a dying creature within a gem. The trapped creature is aware of its imprisonment but can still be manipulated through spells, parley, and other effects. All moves against the trapped creature are at +1. You can free the soul at any time but it can never be recaptured once freed.",advanced
1674,The CLERIC,Seventh Level Spells,"* **Word of Recall:** Choose a word. The first time after casting this spell that you speak the chosen word, you and any allies touching you when you cast the spell are immediately returned to the exact spot where you cast the spell. You can only maintain a single location; casting Word of Recall again before speaking the word replaces the earlier spell.
* **Heal:** Touch an ally and you may heal their damage a number of points up to your maximum HP.
* **Harm:** Touch an enemy and strike them with divine wrath—deal 2d8 damage to them and 1d6 damage to yourself. This damage ignores armor.
* **Sever (Ongoing):** Choose an appendage on the target such as an arm, tentacle, or wing. The appendage is magically severed from their body, causing no damage but considerable pain. Missing an appendage may, for example, keep a winged creature from flying, or a bull from goring you on its horns. While this spell is ongoing you take -1 to cast a spell.
* **Mark of Death:** Choose a creature whose true name you know. This spell creates permanent runes on a target surface that will kill that creature, should they read them.
* **Control Weather:** Pray for rain—or sun, wind, or snow. Within a day or so, your god will answer. The weather will change according to your will and last a handful of days.",advanced
1675,The CLERIC,Ninth Level Spells,"* **Storm of Vengeance:** Your deity brings the unnatural weather of your choice to pass. Rain of blood or acid, clouds of souls, wind that can carry away buildings, or any other weather you can imagine: ask and it shall come.
* **Repair:** Choose one event in the target’s past. All effects of that event, including damage, poison, disease, and magical effects, are ended and repaired. HP and diseases are healed, poisons are neutralized, magical effects are ended.
* **Divine Presence (Ongoing):** Every creature must ask your leave to enter your presence, and you must give permission aloud for them to enter. Any creature without your leave takes an extra 1d10 damage whenever they take damage in your presence. While this spell is ongoing you take -1 to cast a spell.
* **Consume Unlife:** The mindless undead creature you touch is destroyed and you steal its death energy to heal yourself or the next ally you touch. The amount of damage healed is equal to the HP that the creature had remaining before you destroyed it.
* **Plague (Ongoing):** Name a city, town, encampment, or other place where people live. As long as this spell is active that place is beset by a plague appropriate to your deity’s domains (locusts, death of the first born, etc.) While this spell is ongoing you take -1 to cast a spell.

---",advanced
1676,The DRUID,Born of the Soil,"You learned your magic in a place whose spirits are strong and ancient and they’ve marked you as one of their own. No matter where you go, they live within you and allow you to take their shape. Choose one of the following. It is the land to which you are attuned—when shapeshifting you may take the shape of any animal who might live in your Land.

- The Great Forests
- The Whispering Plains
- The Vast Desert
- The Stinking Mire
- The River Delta
- The Depths of the Earth
- The Sapphire Islands
- The Open Sea
- The Towering Mountains
- The Frozen North
- The Blasted Wasteland

Choose a tell—a physical attribute that marks you as born of the soil—that reflects the spirit of your land. It may be an animal feature like antlers or leopard’s spots or something more general: hair like leaves or eyes of glittering crystal. Your tell remains no matter what shape you take.",starting
1677,The DRUID,By Nature Sustained,You don’t need to eat or drink. If a move tells you to mark off a ration just ignore it.,starting
1678,The DRUID,Spirit Tongue,"The grunts, barks, chirps, and calls of the creatures of the wild are as language to you. You can understand any animal native to your land or akin to one whose essence you have studied.",starting
1711,The FIGHTER,Iron Hide,You gain +1 armor.,advanced
1712,The FIGHTER,Blacksmith,"When you have access to a forge you can graft the magical powers of a weapon onto your signature weapon. This process destroys the magical weapon. Your signature weapon gains the magical powers of the destroyed weapon.

When you gain a level from 6-10, choose from these moves or the level 2-5 moves.",advanced
1679,The DRUID,Shapeshifter,"When you call upon the spirits to change your shape, roll+Wis. ✴On a 10+ hold 3. ✴On a 7–9 hold 2. ✴On a miss hold 1 in addition to whatever the GM says.
You may take on the physical form of any species whose essence you have studied or who lives in your land: you and your possessions meld into a perfect copy of the species’ form. You have any innate abilities and weaknesses of the form: claws, wings, gills, breathing water instead of air. You still use your normal stats but some moves may be harder to trigger—a housecat will find it hard to do battle with an ogre. The GM will also tell you one or more moves associated with your new form. Spend 1 hold to make that move. Once you’re out of hold, you return to your natural form. At any time, you may spend all your hold and revert to your natural form.",starting
1680,The DRUID,Studied Essence,"When you spend time in contemplation of an animal spirit, you may add its species to those you can assume using shapeshifting.",starting
1681,The DRUID,Hunter’s Brother,Choose one move from the ranger class list.,advanced
1682,The DRUID,Red of Tooth and Claw,When you are in an appropriate animal form (something dangerous) increase your damage to d8.,advanced
1683,The DRUID,Communion of Whispers,"When you spend time in a place, making note of its resident spirits and calling on the spirits of the land, roll+Wis. You will be granted a vision of significance to you, your allies, and the spirits around you. ✴On a 10+ the vision will be clear and helpful to you. ✴On a 7–9 the vision is unclear, its meaning murky. ✴On a miss, the vision is upsetting, frightening, or traumatizing. The GM will describe it. Take -1 forward.",advanced
1684,The DRUID,Barkskin,So long as your feet touch the ground you have +1 armor.,advanced
1685,The DRUID,Eyes of the Tiger,"When you mark an animal (with mud, dirt, or blood) you can see through that animal’s eyes as if they were your own, no matter what distance separates you. Only one animal at a time may be marked in this way.",advanced
1686,The DRUID,Shed,When you take damage while shapeshifted you may choose to revert to your natural form to negate the damage.,advanced
1687,The DRUID,Thing-Talker,"You see the spirits in the sand, the sea and the stone. You may now apply your spirit tongue, shapeshifting and studied essence to inanimate natural objects (plants and rocks) or creatures made thereof, as well as animals. Thing-talker forms can be exact copies or can be mobile vaguely humanoid-shaped entities.",advanced
1688,The DRUID,Formcrafter,"When you shapeshift choose a stat: you take +1 ongoing to rolls using that stat while shifted. The GM will choose a stat, too: you take -1 ongoing to rolls using that stat while shifted.",advanced
1689,The DRUID,Elemental Mastery,"When you call on the primal spirits of fire, water, earth or air to perform a task for you roll+Wis. ✴On a 10+ choose two. ✴On a 7–9 choose one. ✴On a miss, some catastrophe occurs as a result of your calling.
* The effect you desire comes to pass
* You avoid paying nature’s price
* You retain control",advanced
1690,The DRUID,Balance,"When you deal damage, take 1 balance. When you touch someone and channel the spirits of life you may spend balance. For each balance spent, heal 1d4 HP.

When you gain a level from 6–10, choose from these moves or the level 2–5 moves.",advanced
1691,The DRUID,Embracing No Form,"When you shapeshift, roll 1d4 and add that total to your hold.",advanced
1692,The DRUID,Doppleganger’s Dance,"You are able to study the essence of specific individuals to take their exact form, including men, elves, or the like. Suppressing your tell is possible, but if you do, take -1 ongoing until you return to your own form.",advanced
1693,The DRUID,Blood and Thunder,Replaces: Red of Tooth and Claw. When you are in an appropriate animal form (something dangerous) increase your damage to d10.,advanced
1694,The DRUID,The Druid Sleep,"When you take this move, the next opportunity that you have safety and time to spend in an appropriate location, you may attune yourself to a new land. This effect occurs only once and the GM will tell you how long it will take and what cost you must pay. From then on, you are considered to be born of the soil in both lands.",advanced
1695,The DRUID,World-Talker,"Requires: Thing-Talker. You see the patterns that make up the fabric of the world. You may now apply your spirit tongue, shapeshifter and studied essence moves to pure elements—fire, water, air and earth.",advanced
1696,The DRUID,Stalker’s Sister,Choose one move from the ranger class list.,advanced
1697,The DRUID,Formshaper,Requires: Formcrafter. You may increase your armor by 1 or deal an additional +1d4 damage while in an animal form. Choose which when you shapeshift.,advanced
1698,The DRUID,Chimera,"When you shapeshift, you may create a merged form of up to three different shapes. You may be a bear with the wings of an eagle and the head of a ram, for example. Each feature will grant you a different move to make. Your chimera form follows the same rules as shapeshifter otherwise.",advanced
1699,The DRUID,Weather Weaver,"When you are under open skies when the sun rises the GM will ask you what the weather will be that day. Tell them whatever you like, it comes to pass.

---",advanced
1700,The FIGHTER,"Bend Bars, Lift Gates","When you use pure strength to destroy an inanimate obstacle, roll+Str. ✴On a 10+, choose 3. ✴On a 7-9 choose 2.

* It doesn’t take a very long time
* Nothing of value is damaged
* It doesn’t make an inordinate amount of noise
* You can fix the thing again without a lot of effort",starting
1701,The FIGHTER,Armored,You ignore the clumsy tag on armor you wear.,starting
